data_as_of,start_date,end_date,gender,age,total_deaths,covid19_deaths
30/03/2022,01/01/2020,26/03/2022,Female,52 Years,19821,2766
30/03/2022,01/01/2020,26/03/2022,Female,53 Years,21094,2933
30/03/2022,01/01/2020,26/03/2022,Female,54 Years,22922,3237
30/03/2022,01/01/2020,26/03/2022,Female,55 Years,25842,3543
30/03/2022,01/01/2020,26/03/2022,Female,56 Years,28952,4016
30/03/2022,01/01/2020,26/03/2022,Female,57 Years,32027,4339
30/03/2022,01/01/2020,26/03/2022,Female,58 Years,34352,4850
30/03/2022,01/01/2020,26/03/2022,Female,59 Years,38114,5278
30/03/2022,01/01/2020,26/03/2022,Female,60 Years,40855,5662
30/03/2022,01/01/2020,26/03/2022,Female,61 Years,43592,6115
30/03/2022,01/01/2020,26/03/2022,Female,62 Years,46349,6633
30/03/2022,01/01/2020,26/03/2022,Female,63 Years,49345,7122
30/03/2022,01/01/2020,26/03/2022,Female,64 Years,51694,7520
30/03/2022,01/01/2020,26/03/2022,Female,65 Years,53365,7775
30/03/2022,01/01/2020,26/03/2022,Female,66 Years,55050,7843
30/03/2022,01/01/2020,26/03/2022,Female,67 Years,57101,8091
30/03/2022,01/01/2020,26/03/2022,Female,68 Years,59242,8461
30/03/2022,01/01/2020,26/03/2022,Female,69 Years,61616,8789
30/03/2022,01/01/2020,26/03/2022,Female,70 Years,64458,8959
30/03/2022,01/01/2020,26/03/2022,Female,71 Years,68403,9544
30/03/2022,01/01/2020,26/03/2022,Female,72 Years,73505,10109
30/03/2022,01/01/2020,26/03/2022,Female,73 Years,79470,10685
30/03/2022,01/01/2020,26/03/2022,Female,74 Years,79374,10956
30/03/2022,01/01/2020,26/03/2022,Female,75 Years,74497,9989
30/03/2022,01/01/2020,26/03/2022,Female,76 Years,77878,10286
30/03/2022,01/01/2020,26/03/2022,Female,77 Years,84998,10984
30/03/2022,01/01/2020,26/03/2022,Female,78 Years,88419,11481
30/03/2022,01/01/2020,26/03/2022,Female,79 Years,87308,11045
30/03/2022,01/01/2020,26/03/2022,Female,80 Years,88368,10913
30/03/2022,01/01/2020,26/03/2022,Female,81 Years,89959,11102
30/03/2022,01/01/2020,26/03/2022,Female,82 Years,93590,11551
30/03/2022,01/01/2020,26/03/2022,Female,83 Years,95822,11522
30/03/2022,01/01/2020,26/03/2022,Female,84 Years,98097,11713
30/03/2022,01/01/2020,26/03/2022,Female,85 Years and over,1311788,140717

